event_id,event_start,event_end,n_sensors,equipment_id,rows,sensor_start,sensor_end
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,562,9,2025-05-01T08:30:00,2025-05-01T09:50:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,563,11,2025-05-01T08:30:00,2025-05-01T10:10:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,564,11,2025-05-01T08:30:00,2025-05-01T10:10:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,565,10,2025-05-01T08:30:00,2025-05-01T10:00:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,567,12,2025-05-01T08:30:00,2025-05-01T10:20:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,568,12,2025-05-01T08:30:00,2025-05-01T10:20:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,1024,18,2025-05-01T08:30:00,2025-05-01T11:20:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,1025,13,2025-05-01T08:30:00,2025-05-01T10:30:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,1027,10,2025-05-01T08:30:00,2025-05-01T10:00:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,1028,11,2025-05-01T08:30:00,2025-05-01T10:10:00
E1,2025-05-01T08:30:00,2025-05-01T11:20:00,11,1026,11,2025-05-01T08:30:00,2025-05-01T10:10:00
E2,2025-05-01T10:40:00,2025-05-01T11:30:00,3,567,6,2025-05-01T10:40:00,2025-05-01T11:30:00
E2,2025-05-01T10:40:00,2025-05-01T11:30:00,3,1025,5,2025-05-01T10:50:00,2025-05-01T11:30:00
E2,2025-05-01T10:40:00,2025-05-01T11:30:00,3,1027,5,2025-05-01T10:50:00,2025-05-01T11:30:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,562,5,2025-05-01T12:40:00,2025-05-01T13:20:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,563,4,2025-05-01T12:40:00,2025-05-01T13:10:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,564,4,2025-05-01T12:40:00,2025-05-01T13:10:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,567,4,2025-05-01T12:40:00,2025-05-01T13:10:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,1024,4,2025-05-01T12:40:00,2025-05-01T13:10:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,1025,4,2025-05-01T12:40:00,2025-05-01T13:10:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,1027,5,2025-05-01T12:40:00,2025-05-01T13:20:00
E3,2025-05-01T12:40:00,2025-05-01T13:20:00,8,1028,4,2025-05-01T12:40:00,2025-05-01T13:10:00
E4,2025-05-02T17:30:00,2025-05-02T18:00:00,1,1024,4,2025-05-02T17:30:00,2025-05-02T18:00:00
E5,2025-05-04T09:40:00,2025-05-04T11:00:00,2,1027,8,2025-05-04T09:40:00,2025-05-04T10:50:00
E5,2025-05-04T09:40:00,2025-05-04T11:00:00,2,1025,7,2025-05-04T10:00:00,2025-05-04T11:00:00
E6,2025-05-04T11:00:00,2025-05-04T13:10:00,5,564,11,2025-05-04T11:00:00,2025-05-04T12:40:00
E6,2025-05-04T11:00:00,2025-05-04T13:10:00,5,1025,5,2025-05-04T11:20:00,2025-05-04T12:00:00
E6,2025-05-04T11:00:00,2025-05-04T13:10:00,5,1026,4,2025-05-04T11:20:00,2025-05-04T11:50:00
E6,2025-05-04T11:00:00,2025-05-04T13:10:00,5,562,7,2025-05-04T11:30:00,2025-05-04T12:30:00
E6,2025-05-04T11:00:00,2025-05-04T13:10:00,5,1027,10,2025-05-04T11:40:00,2025-05-04T13:10:00
E7,2025-05-04T12:30:00,2025-05-04T13:00:00,2,567,4,2025-05-04T12:30:00,2025-05-04T13:00:00
E7,2025-05-04T12:30:00,2025-05-04T13:00:00,2,1028,4,2025-05-04T12:30:00,2025-05-04T13:00:00
E8,2025-05-05T13:00:00,2025-05-05T13:50:00,1,1024,6,2025-05-05T13:00:00,2025-05-05T13:50:00
E9,2025-05-05T14:10:00,2025-05-05T14:40:00,1,1024,4,2025-05-05T14:10:00,2025-05-05T14:40:00
E10,2025-05-07T15:20:00,2025-05-07T16:20:00,1,565,7,2025-05-07T15:20:00,2025-05-07T16:20:00
