event_id,sensor_id,peak_value,peak_time
E1,1025,20.844931702836668,2025-05-29T10:36:18.378378378
E1,1027,19.592737786015686,2025-05-29T10:46:18.378378378
E1,568,21.530920761424426,2025-05-29T10:50:32.432432432
E1,1026,20.65833343504608,2025-05-29T10:51:14.474474474
E1,565,20.56465990870445,2025-05-29T10:52:09.729729730
E1,563,19.046370920785208,2025-05-29T10:52:15.135135135
E1,562,18.54083056954468,2025-05-29T10:52:22.942942943
E1,1024,23.68141342002948,2025-05-29T10:53:16.396396396
E1,1028,19.210943104516804,2025-05-29T10:53:50.630630631
E1,567,17.297699744663355,2025-05-29T11:04:56.096096096
E1,564,18.90420378456895,2025-05-29T11:29:17.357357357
