event_id,event_start,event_end,n_sensors,equipment_id,rows,sensor_start,sensor_end
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,1024,63,2025-06-01T08:00:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,1028,62,2025-06-01T08:10:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,562,61,2025-06-01T08:20:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,563,61,2025-06-01T08:20:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,567,61,2025-06-01T08:20:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,1025,59,2025-06-01T08:20:00,2025-06-01T18:00:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,1027,59,2025-06-01T08:20:00,2025-06-01T18:00:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,568,60,2025-06-01T08:30:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,1026,58,2025-06-01T08:30:00,2025-06-01T18:00:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,564,58,2025-06-01T08:50:00,2025-06-01T18:20:00
E1,2025-06-01T08:00:00,2025-06-01T18:20:00,11,565,56,2025-06-01T09:00:00,2025-06-01T18:10:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,563,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,564,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,565,24,2025-06-03T09:40:00,2025-06-03T13:30:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,567,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,568,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,1024,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,1025,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,1027,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,1028,24,2025-06-03T09:40:00,2025-06-03T13:30:00
E2,2025-06-03T09:40:00,2025-06-03T15:20:00,10,1026,35,2025-06-03T09:40:00,2025-06-03T15:20:00
E3,2025-06-03T13:50:00,2025-06-03T15:20:00,1,1028,10,2025-06-03T13:50:00,2025-06-03T15:20:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,563,10,2025-06-03T16:00:00,2025-06-03T17:30:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,564,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,567,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,568,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,1024,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,1025,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,1027,12,2025-06-03T16:00:00,2025-06-03T17:50:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,1028,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,1026,11,2025-06-03T16:00:00,2025-06-03T17:40:00
E4,2025-06-03T16:00:00,2025-06-03T17:50:00,10,565,7,2025-06-03T16:20:00,2025-06-03T17:20:00
