event_id,sensor_id,peak_value,peak_time
E1,1026,15.528350173198778,2025-05-23T07:57:48.468468468
E1,568,15.26438995155739,2025-05-23T08:37:22.042042042
E1,564,14.542354188784946,2025-05-23T08:41:24.084084084
E1,565,15.746809379879384,2025-05-23T08:47:46.666666667
E1,1028,14.390829104368688,2025-05-23T09:30:58.258258258
E1,562,14.13509199003955,2025-05-23T10:05:07.507507508
E1,563,14.332515122540684,2025-05-23T10:29:38.378378378
E1,1024,16.896648227935486,2025-05-23T10:35:16.516516517
E1,567,13.389240206178028,2025-05-23T10:41:49.909909910
E1,1027,14.499603807347249,2025-05-23T10:47:01.021021021
E1,1025,15.360338679358286,2025-05-23T13:00:00
