event_id,event_start,event_end,n_sensors,equipment_id,rows,sensor_start,sensor_end
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,1024,35,2025-05-23T07:40:00,2025-05-23T13:20:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,1025,33,2025-05-23T07:40:00,2025-05-23T13:00:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,564,14,2025-05-23T07:50:00,2025-05-23T10:00:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,565,13,2025-05-23T07:50:00,2025-05-23T09:50:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,568,14,2025-05-23T07:50:00,2025-05-23T10:00:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,1026,14,2025-05-23T07:50:00,2025-05-23T10:00:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,1028,33,2025-05-23T08:00:00,2025-05-23T13:20:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,562,32,2025-05-23T08:10:00,2025-05-23T13:20:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,563,31,2025-05-23T08:10:00,2025-05-23T13:10:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,567,33,2025-05-23T08:10:00,2025-05-23T13:30:00
E1,2025-05-23T07:40:00,2025-05-23T13:30:00,11,1027,32,2025-05-23T08:10:00,2025-05-23T13:20:00
E2,2025-05-23T10:20:00,2025-05-23T13:10:00,4,564,18,2025-05-23T10:20:00,2025-05-23T13:10:00
E2,2025-05-23T10:20:00,2025-05-23T13:10:00,4,568,18,2025-05-23T10:20:00,2025-05-23T13:10:00
E2,2025-05-23T10:20:00,2025-05-23T13:10:00,4,565,15,2025-05-23T10:30:00,2025-05-23T12:50:00
E2,2025-05-23T10:20:00,2025-05-23T13:10:00,4,1026,16,2025-05-23T10:30:00,2025-05-23T13:00:00
