event_id,sensor_id,peak_value,peak_time
E4,565,64.59642535998415,2025-06-03T16:43:29.009009009
E4,563,68.96500759384992,2025-06-03T16:45:45.945945946
E4,1024,77.95419140462559,2025-06-03T16:47:26.846846847
E4,1026,71.6802783910209,2025-06-03T16:47:32.852852853
E4,568,73.75448390713245,2025-06-03T16:47:38.858858859
E4,567,69.40044268381271,2025-06-03T16:47:44.864864865
E4,1025,76.6373305816594,2025-06-03T16:47:44.864864865
E4,1028,73.57930065902949,2025-06-03T16:47:44.864864865
E4,564,67.15724592528038,2025-06-03T16:48:02.882882883
E4,1027,71.23513817815291,2025-06-03T16:50:06.006006006
