event_id,sensor_id,peak_value,peak_time
E1,1027,101.0256959763691,2025-06-01T13:10:52.252252252
E1,1024,109.99223647234564,2025-06-01T13:13:24.804804805
E1,1025,101.54124356938232,2025-06-01T13:14:56.096096096
E1,1028,100.177037962095,2025-06-01T13:18:21.501501502
E1,563,95.48473558122902,2025-06-01T13:19:41.981981982
E1,1026,95.83610363313778,2025-06-01T13:21:33.693693694
E1,567,94.64507957492154,2025-06-01T13:22:06.126126126
E1,568,98.95953266055261,2025-06-01T13:24:42.282282282
E1,565,92.56688842090446,2025-06-01T13:24:48.888888889
E1,564,92.64393699679832,2025-06-01T13:40:25.225225225
