event_id,sensor_id,peak_value,peak_time
E2,1026,13.804704357040823,2025-05-19T17:05:24.324324324
E2,1024,17.75567748659317,2025-05-19T17:51:48.708708709
E2,1025,13.223865852664831,2025-05-19T18:17:50.270270270
E2,567,13.303157755758322,2025-05-19T18:34:48.888888889
E2,1027,13.801454141662287,2025-05-19T19:51:46.306306306
E2,562,13.66466204144977,2025-05-19T19:52:43.963963964
E2,1028,14.078281291674902,2025-05-19T19:57:32.252252252
E2,564,12.635699605344584,2025-05-19T20:15:47.747747748
E2,565,14.786239620234241,2025-05-19T21:22:24.144144144
E2,563,15.05300022130776,2025-05-19T23:00:00
