event_id,sensor_id,peak_value,peak_time
E1,1024,26.810554616492826,2025-05-01T08:58:55.735735736
E1,1027,24.34269641141205,2025-05-01T09:16:12.972972973
E1,563,23.531172823653925,2025-05-01T09:16:50.810810811
E1,568,24.410818065448446,2025-05-01T09:17:34.054054054
E1,562,22.64027392740523,2025-05-01T09:18:22.102102102
E1,567,22.941853995387337,2025-05-01T09:18:53.333333333
E1,1025,22.73681237641992,2025-05-01T09:22:51.171171171
E1,1028,21.833381309381178,2025-05-01T09:22:57.177177177
E1,1026,21.738459247436534,2025-05-01T09:25:15.315315315
E1,564,20.76547112682783,2025-05-01T09:54:41.081081081
E1,565,23.580988709090917,2025-05-01T10:00:00
