event_id,event_start,event_end,n_sensors,equipment_id,rows,sensor_start,sensor_end
E1,2025-05-16T18:00:00,2025-05-16T19:30:00,2,568,10,2025-05-16T18:00:00,2025-05-16T19:30:00
E1,2025-05-16T18:00:00,2025-05-16T19:30:00,2,1025,4,2025-05-16T18:10:00,2025-05-16T18:40:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,562,49,2025-05-19T15:40:00,2025-05-19T23:40:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,564,49,2025-05-19T15:40:00,2025-05-19T23:40:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,1027,49,2025-05-19T15:40:00,2025-05-19T23:40:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,1028,49,2025-05-19T15:40:00,2025-05-19T23:40:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,565,45,2025-05-19T16:00:00,2025-05-19T23:20:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,563,42,2025-05-19T16:10:00,2025-05-19T23:00:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,567,29,2025-05-19T16:20:00,2025-05-19T21:00:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,1025,28,2025-05-19T16:20:00,2025-05-19T20:50:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,1026,28,2025-05-19T16:20:00,2025-05-19T20:50:00
E2,2025-05-19T15:40:00,2025-05-19T23:40:00,10,1024,12,2025-05-19T16:30:00,2025-05-19T18:20:00
E3,2025-05-19T17:20:00,2025-05-19T18:20:00,1,568,7,2025-05-19T17:20:00,2025-05-19T18:20:00
E4,2025-05-19T19:40:00,2025-05-19T20:50:00,1,1024,8,2025-05-19T19:40:00,2025-05-19T20:50:00
E5,2025-05-19T21:20:00,2025-05-19T23:00:00,5,567,11,2025-05-19T21:20:00,2025-05-19T23:00:00
E5,2025-05-19T21:20:00,2025-05-19T23:00:00,5,568,10,2025-05-19T21:30:00,2025-05-19T23:00:00
E5,2025-05-19T21:20:00,2025-05-19T23:00:00,5,1024,10,2025-05-19T21:30:00,2025-05-19T23:00:00
E5,2025-05-19T21:20:00,2025-05-19T23:00:00,5,1025,10,2025-05-19T21:30:00,2025-05-19T23:00:00
E5,2025-05-19T21:20:00,2025-05-19T23:00:00,5,1026,10,2025-05-19T21:30:00,2025-05-19T23:00:00
E6,2025-05-20T08:20:00,2025-05-20T08:50:00,4,562,4,2025-05-20T08:20:00,2025-05-20T08:50:00
E6,2025-05-20T08:20:00,2025-05-20T08:50:00,4,564,4,2025-05-20T08:20:00,2025-05-20T08:50:00
E6,2025-05-20T08:20:00,2025-05-20T08:50:00,4,1027,4,2025-05-20T08:20:00,2025-05-20T08:50:00
E6,2025-05-20T08:20:00,2025-05-20T08:50:00,4,1028,4,2025-05-20T08:20:00,2025-05-20T08:50:00
E7,2025-05-21T13:10:00,2025-05-21T14:00:00,1,1024,6,2025-05-21T13:10:00,2025-05-21T14:00:00
